Kumpel DOI;fabio:ResearchPaper
https://doi.org/10.1177%2F2056305115610141;No-DOI-9
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1080/07421222.2015.1138368
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1177%2F152263791101300302
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1145/2487788.2487921
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1145/1963405.1963503
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1145/2526188.2526219
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1177%2F0093650205279209
https://doi.org/10.1177%2F2056305115610141;No-DOI-10
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1177%2F1461444809360699
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.5789/4-1-15
https://doi.org/10.1177%2F2056305115610141;No-DOI-11
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1287/isre.1100.0339
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1109/WI-IAT.2011.311
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1145/2492517.2500262
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1016/j.pubrev.2012.12.001
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1080/17512786.2012.667272
https://doi.org/10.1177%2F2056305115610141;No-DOI-12
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1145/1963405.1963504
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1145/2348283.2348358
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1177%2F0306422012466807
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1145/1964858.1964875
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1145/2063576.2063992
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1145/2556195.2566588
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1145/2631775.2631808
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1111/jcom.12103
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1145/2597892
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1108/OIR-10-2013-0239
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1145/2647868.2655037
https://doi.org/10.1177%2F2056305115610141;No-DOI-13
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1177/2056305115610141
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1080/17512786.2013.794022
https://doi.org/10.1177%2F2056305115610141;No-DOI-14
https://doi.org/10.1177%2F2056305115610141;No-DOI-15
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1177%2F2056305115578135
https://doi.org/10.1177%2F2056305115610141;http://dx.doi.org/10.4135/9781446270066
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1177%2F1461444813520477
